Tamaño Ejemplar    Tiempo Real     Tiempos Estimados
1000                      0                      -76749.1
1025                      0                      -80634.5
1050                      0.25                      -84615.9
1075                      0.0625                      -88693.2
1100                      0.265625                      -92866.4
1125                      0.0664062                      -97135.6
1150                      0.0166016                      -101501
1175                      0.00415039                      -105962
1200                      0.0010376                      -110519
1225                      0.000259399                      -115172
1250                      6.48499e-05                      -119920
1275                      1.62125e-05                      -124765
1300                      0.250004                      -129706
1325                      0.062501                      -134743
1350                      0.0156253                      -139875
1375                      0.00390631                      -145104
1400                      0.000976578                      -150428
1425                      0.000244145                      -155849
1450                      6.10361e-05                      -161365
1475                      1.5259e-05                      -166977
1500                      3.81476e-06                      -172685
1525                      9.5369e-07                      -178490
1550                      2.38422e-07                      -184390
1575                      5.96056e-08                      -190386
1600                      1.49014e-08                      -196478
1625                      3.72535e-09                      -202666
1650                      9.31338e-10                      -208949
1675                      2.32834e-10                      -215329
1700                      5.82086e-11                      -221805
1725                      1.45522e-11                      -228377
1750                      3.63804e-12                      -235044
1775                      9.09509e-13                      -241808
1800                      2.27377e-13                      -248667
1825                      5.68443e-14                      -255622
1850                      1.42111e-14                      -262674
1875                      3.55277e-15                      -269821
1900                      8.88193e-16                      -277064
1925                      0.5                      -284403
1950                      0.125                      -291838
1975                      0.03125                      -299369
2000                      0.0078125                      -306996
2025                      0.00195313                      -314719
2050                      0.000488281                      -322538
2075                      0.00012207                      -330453
2100                      3.05176e-05                      -338464
2125                      0.250008                      -346570
2150                      0.0625019                      -354773
2175                      0.0156255                      -363071
2200                      0.00390637                      -371466
2225                      0.000976592                      -379956
2250                      0.000244148                      -388542
2275                      6.1037e-05                      -397225
2300                      1.52593e-05                      -406003
2325                      3.81481e-06                      -414877
2350                      9.53703e-07                      -423847
2375                      2.38426e-07                      -432913
2400                      0.25                      -442075
2425                      0.0625                      -451333
2450                      0.015625                      -460686
2475                      0.00390625                      -470136
2500                      0.000976563                      -479682
2525                      0.000244141                      -489324
2550                      6.10352e-05                      -499061
2575                      1.52588e-05                      -508895
2600                      3.8147e-06                      -518824
2625                      9.53675e-07                      -528849
2650                      2.38419e-07                      -538971
2675                      5.96047e-08                      -549188
2700                      1.49012e-08                      -559501
2725                      3.72529e-09                      -569910
2750                      9.31323e-10                      -580415
2775                      0.25                      -591016
2800                      0.5625                      -601713
2825                      0.140625                      -612506
2850                      0.0351563                      -623395
2875                      0.00878906                      -634379
2900                      0.502197                      -645460
2925                      0.625549                      -656637
2950                      0.156387                      -667909
2975                      0.539097                      -679278
3000                      0.134774                      -690742
3025                      0.0336936                      -702302
3050                      0.508423                      -713959
3075                      0.127106                      -725711
3100                      0.0317765                      -737559
3125                      0.00794412                      -749503
3150                      0.00198603                      -761543
3175                      0.500497                      -773679
3200                      0.125124                      -785911
3225                      0.031281                      -798239
3250                      0.00782026                      -810662
3275                      0.00195506                      -823182
3300                      0.000488766                      -835798
3325                      0.000122192                      -848509
3350                      3.05479e-05                      -861317
3375                      7.63697e-06                      -874220
3400                      1.90924e-06                      -887220
3425                      4.77311e-07                      -900315
3450                      1.19328e-07                      -913506
3475                      2.98319e-08                      -926793
3500                      7.45798e-09                      -940177
3525                      1.86449e-09                      -953656
3550                      0.25                      -967231
3575                      0.0625                      -980902
3600                      0.015625                      -994668
3625                      0.00390625                      -1.00853e+06
3650                      0.500977                      -1.02249e+06
3675                      0.125244                      -1.03654e+06
3700                      0.031311                      -1.0507e+06
3725                      0.257828                      -1.06494e+06
3750                      0.314457                      -1.07928e+06
3775                      0.0786142                      -1.09372e+06
3800                      0.0196536                      -1.10826e+06
3825                      0.00491339                      -1.12289e+06
3850                      0.501228                      -1.13761e+06
3875                      0.125307                      -1.15244e+06
3900                      0.0313268                      -1.16735e+06
3925                      0.257832                      -1.18237e+06
3950                      0.0644579                      -1.19748e+06
3975                      0.0161145                      -1.21268e+06
4000                      0.00402862                      -1.22799e+06
4025                      0.501007                      -1.24338e+06
4050                      0.125252                      -1.25888e+06
4075                      0.281313                      -1.27447e+06
4100                      0.0703282                      -1.29015e+06
4125                      0.0175821                      -1.30593e+06
4150                      0.504396                      -1.32181e+06
4175                      0.126099                      -1.33778e+06
4200                      0.0315247                      -1.35385e+06
4225                      0.00788118                      -1.37002e+06
4250                      0.00197029                      -1.38628e+06
4275                      0.500493                      -1.40264e+06
4300                      0.125123                      -1.41909e+06
4325                      0.0312808                      -1.43564e+06
4350                      0.0078202                      -1.45229e+06
4375                      0.251955                      -1.46903e+06
4400                      0.0629888                      -1.48586e+06
4425                      0.0157472                      -1.5028e+06
4450                      0.0039368                      -1.51982e+06
4475                      0.000984199                      -1.53695e+06
4500                      0.00024605                      -1.55417e+06
4525                      0.500062                      -1.57149e+06
4550                      0.125015                      -1.5889e+06
4575                      0.0312538                      -1.60641e+06
4600                      0.00781346                      -1.62401e+06
4625                      0.00195337                      -1.64171e+06
4650                      0.000488341                      -1.65951e+06
4675                      0.000122085                      -1.6774e+06
4700                      3.05213e-05                      -1.69539e+06
4725                      0.250008                      -1.71347e+06
4750                      0.0625019                      -1.73165e+06
4775                      0.515625                      -1.74993e+06
4800                      0.378906                      -1.7683e+06
4825                      0.344727                      -1.78677e+06
4850                      0.0861816                      -1.80533e+06
4875                      0.0215454                      -1.82399e+06
4900                      0.00538635                      -1.84275e+06
4925                      0.00134659                      -1.8616e+06
4950                      0.000336647                      -1.88055e+06
4975                      8.41618e-05                      -1.89959e+06
5000                      2.10404e-05                      -1.91873e+06
