Tamaño Ejemplar    Tiempo Real     Tiempos Estimados
1                      10                      9.88252
2                      21                      21.2089
3                      32                      32.1191
4                      43                      42.6867
5                      53                      52.9851
6                      63                      63.0876
7                      73                      73.0678
8                      83                      82.9991
9                      93                      92.9548
10                      103                      103.008
10.8528                      13.132                      0
