Tamaño Ejemplar    Tiempo Real     Tiempos Estimados
1000                      9.6                      12.3323
1010                      11.92                      12.3365
1020                      12.584                      12.3408
1030                      12.7168                      12.3451
1040                      12.5434                      12.3493
1050                      11.7087                      12.3536
1060                      11.9417                      12.3579
1070                      11.7883                      12.3621
1080                      11.3577                      12.3663
1090                      11.8715                      12.3706
1100                      11.7743                      12.3748
1110                      14.1549                      12.379
1120                      12.631                      12.3833
1130                      12.1262                      12.3875
1140                      12.0252                      12.3917
1150                      11.405                      12.3959
1160                      12.081                      12.4001
1170                      12.0162                      12.4043
1180                      12.0032                      12.4085
1190                      12.2006                      12.4127
1200                      12.2401                      12.4169
1210                      12.048                      12.4211
1220                      11.6096                      12.4253
1230                      12.3219                      12.4295
1240                      12.0644                      12.4336
1250                      12.0129                      12.4378
1260                      12.0026                      12.442
1270                      11.6005                      12.4461
1280                      11.7201                      12.4503
1290                      12.344                      12.4544
1300                      12.2688                      12.4586
1310                      11.8538                      12.4627
1320                      11.9708                      12.4669
1330                      11.7942                      12.471
1340                      12.1588                      12.4751
1350                      12.0318                      12.4792
1360                      11.8064                      12.4834
1370                      11.9613                      12.4875
1380                      11.9923                      12.4916
1390                      12.3985                      12.4957
1400                      12.4797                      12.4998
1410                      12.2959                      12.5039
1420                      12.2592                      12.508
1430                      12.2518                      12.5121
1440                      12.0504                      12.5162
1450                      12.4101                      12.5202
1460                      12.082                      12.5243
1470                      12.2164                      12.5284
1480                      12.4433                      12.5324
1490                      12.4887                      12.5365
1500                      12.2977                      12.5406
1510                      12.2595                      12.5446
1520                      12.0519                      12.5487
1530                      12.6104                      12.5527
1540                      13.7221                      12.5567
1550                      17.5444                      12.5608
1560                      13.7089                      12.5648
1570                      12.3418                      12.5688
1580                      12.0684                      12.5728
1590                      11.6137                      12.5769
1600                      11.5227                      12.5809
1610                      11.7045                      12.5849
1620                      11.5409                      12.5889
1630                      14.3082                      12.5929
1640                      13.2616                      12.5969
1650                      11.8523                      12.6009
1660                      12.3705                      12.6048
1670                      12.0741                      12.6088
1680                      12.0148                      12.6128
1690                      11.603                      12.6168
1700                      11.7206                      12.6207
1710                      11.7441                      12.6247
1720                      11.3488                      12.6287
1730                      11.2698                      12.6326
1740                      12.254                      12.6366
1750                      13.0508                      12.6405
1760                      11.8102                      12.6444
1770                      12.162                      12.6484
1780                      12.4324                      12.6523
1790                      11.8865                      12.6562
1800                      12.1773                      12.6602
1810                      11.6355                      12.6641
1820                      11.7271                      12.668
1830                      11.9454                      12.6719
1840                      11.5891                      12.6758
1850                      11.5178                      12.6797
1860                      11.7036                      12.6836
1870                      11.5407                      12.6875
1880                      11.7081                      12.6914
1890                      11.5416                      12.6953
1900                      11.7083                      12.6991
1910                      11.5417                      12.703
1920                      11.7083                      12.7069
1930                      11.9417                      12.7107
1940                      12.3883                      12.7146
1950                      11.6777                      12.7184
1960                      11.7355                      12.7223
1970                      11.5471                      12.7261
1980                      12.1094                      12.73
1990                      12.0219                      12.7338
2000                      11.6044                      12.7377
2010                      12.1209                      12.7415
2020                      11.6242                      12.7453
2030                      11.9248                      12.7491
2040                      12.185                      12.7529
2050                      16.037                      12.7567
2060                      15.6074                      12.7606
2070                      13.5215                      12.7644
2080                      12.9043                      12.7682
2090                      13.7809                      12.7719
2100                      13.3562                      12.7757
2110                      12.4712                      12.7795
2120                      12.2942                      12.7833
2130                      12.2588                      12.7871
2140                      12.6518                      12.7908
2150                      12.5304                      12.7946
2160                      13.9061                      12.7984
2170                      12.7812                      12.8021
2180                      12.3562                      12.8059
2190                      13.0712                      12.8096
2200                      12.6142                      12.8134
2210                      12.5228                      12.8171
2220                      12.7046                      12.8208
2230                      12.1409                      12.8246
2240                      12.4282                      12.8283
2250                      12.8856                      12.832
2260                      13.7771                      12.8357
2270                      12.7554                      12.8394
2280                      12.9511                      12.8431
2290                      12.7902                      12.8468
2300                      13.158                      12.8505
2310                      13.8316                      12.8542
2320                      13.7663                      12.8579
2330                      12.1533                      12.8616
2340                      13.2307                      12.8653
2350                      12.6461                      12.869
2360                      12.3292                      12.8726
2370                      12.2658                      12.8763
2380                      12.2532                      12.88
2390                      18.2506                      12.8836
2400                      16.0501                      12.8873
2410                      16.61                      12.8909
2420                      13.122                      12.8946
2430                      12.6244                      12.8982
2440                      30.9249                      12.9018
2450                      15.785                      12.9055
2460                      13.557                      12.9091
2470                      18.3114                      12.9127
2480                      13.6623                      12.9163
2490                      12.3325                      12.9199
2500                      12.4665                      12.9236
2510                      12.0933                      12.9272
2520                      12.2187                      12.9308
2530                      12.2437                      12.9343
2540                      11.8487                      12.9379
2550                      12.3697                      12.9415
2560                      12.0739                      12.9451
2570                      12.2148                      12.9487
2580                      12.443                      12.9523
2590                      12.6886                      12.9558
2600                      12.3377                      12.9594
2610                      12.4675                      12.9629
2620                      12.2935                      12.9665
2630                      12.0587                      12.9701
2640                      12.2117                      12.9736
2650                      12.2423                      12.9771
2660                      11.8485                      12.9807
2670                      11.9697                      12.9842
2680                      11.9939                      12.9877
2690                      12.1988                      12.9913
2700                      12.0398                      12.9948
2710                      13.208                      12.9983
2720                      12.4416                      13.0018
2730                      12.2883                      13.0053
2740                      12.2577                      13.0088
2750                      12.4515                      13.0123
2760                      12.4903                      13.0158
2770                      11.8981                      13.0193
2780                      11.7796                      13.0228
2790                      12.1559                      13.0262
2800                      11.8312                      13.0297
2810                      12.3662                      13.0332
2820                      12.0732                      13.0366
2830                      12.0146                      13.0401
2840                      12.0029                      13.0436
2850                      12.2006                      13.047
2860                      12.2401                      13.0505
2870                      12.048                      13.0539
2880                      12.4096                      13.0573
2890                      12.4819                      13.0608
2900                      12.0964                      13.0642
2910                      11.8193                      13.0676
2920                      12.3639                      13.0711
2930                      12.6728                      13.0745
2940                      12.9346                      13.0779
2950                      12.1869                      13.0813
2960                      12.2374                      13.0847
2970                      11.6475                      13.0881
2980                      11.9295                      13.0915
