Numero de elementos    Tiempos Reales
1000                      9.5
1025                      14.25
1050                      17.125
1075                      17.5625
1100                      18.7812
1125                      18.3906
1150                      18.1953
1175                      18.5977
1200                      18.7988
1225                      19.3994
1250                      19.6997
1275                      18.8499
1300                      18.9249
1325                      18.9625
1350                      20.9812
1375                      20.4906
1400                      20.2453
1425                      20.1227
1450                      19.5613
1475                      18.7807
1500                      19.8903
1525                      18.9452
1550                      18.9726
1575                      19.4863
1600                      19.7431
1625                      19.3716
1650                      18.6858
1675                      24.3429
1700                      22.6714
1725                      21.3357
1750                      20.1679
1775                      20.5839
1800                      20.292
1825                      19.146
1850                      19.073
1875                      19.0365
1900                      24.0182
1925                      22.5091
1950                      21.2546
1975                      20.6273
2000                      19.8136
2025                      19.9068
2050                      19.9534
2075                      20.4767
2100                      19.7384
2125                      20.3692
2150                      19.6846
2175                      21.3423
2200                      21.6711
2225                      21.3356
2250                      20.6678
2275                      20.8339
2300                      19.4169
2325                      21.2085
2350                      21.1042
2375                      20.5521
2400                      20.7761
2425                      20.388
2450                      20.694
2475                      21.347
2500                      20.6735
2525                      21.3368
2550                      21.6684
2575                      21.3342
2600                      20.1671
2625                      20.0835
2650                      20.5418
2675                      42.7709
2700                      31.8854
2725                      25.9427
2750                      22.9714
2775                      21.4857
2800                      23.2428
2825                      21.6214
2850                      20.8107
2875                      20.4054
2900                      21.7027
2925                      21.8513
2950                      20.9257
2975                      20.4628
3000                      20.2314
3025                      21.1157
3050                      21.0579
3075                      20.5289
3100                      21.7645
3125                      21.3822
3150                      21.1911
3175                      20.5956
3200                      20.7978
3225                      19.8989
3250                      19.9494
3275                      20.4747
3300                      20.2374
3325                      20.1187
3350                      21.5593
3375                      26.7797
3400                      27.8898
3425                      24.4449
3450                      21.7225
3475                      20.8612
3500                      21.4306
3525                      20.7153
3550                      19.8577
3575                      19.9288
3600                      19.9644
3625                      19.9822
3650                      20.4911
3675                      20.2456
3700                      20.1228
3725                      20.0614
3750                      21.0307
3775                      20.5153
3800                      20.2577
3825                      20.1288
3850                      20.5644
3875                      20.2822
3900                      19.6411
3925                      19.8206
3950                      19.9103
3975                      19.9551
4000                      19.4776
4025                      19.7388
4050                      19.3694
4075                      19.1847
4100                      20.5923
4125                      19.7962
4150                      19.8981
4175                      19.949
4200                      19.4745
4225                      20.2373
4250                      20.6186
4275                      20.3093
4300                      19.6547
4325                      19.3273
4350                      20.6637
4375                      20.3318
4400                      20.1659
4425                      20.583
4450                      20.2915
4475                      20.1457
4500                      19.5729
4525                      19.7864
4550                      19.8932
4575                      19.9466
4600                      20.4733
4625                      21.2367
4650                      20.6183
4675                      20.3092
4700                      22.1546
4725                      22.5773
4750                      25.7886
4775                      23.8943
4800                      22.9472
4825                      21.4736
4850                      21.2368
4875                      20.6184
4900                      20.3092
4925                      20.1546
4950                      21.0773
4975                      20.5386
5000                      20.2693
