Numero de elementos    Tiempos Reales
1000                      9.6
1010                      11.92
1020                      12.584
1030                      12.7168
1040                      12.5434
1050                      11.7087
1060                      11.9417
1070                      11.7883
1080                      11.3577
1090                      11.8715
1100                      11.7743
1110                      14.1549
1120                      12.631
1130                      12.1262
1140                      12.0252
1150                      11.405
1160                      12.081
1170                      12.0162
1180                      12.0032
1190                      12.2006
1200                      12.2401
1210                      12.048
1220                      11.6096
1230                      12.3219
1240                      12.0644
1250                      12.0129
1260                      12.0026
1270                      11.6005
1280                      11.7201
1290                      12.344
1300                      12.2688
1310                      11.8538
1320                      11.9708
1330                      11.7942
1340                      12.1588
1350                      12.0318
1360                      11.8064
1370                      11.9613
1380                      11.9923
1390                      12.3985
1400                      12.4797
1410                      12.2959
1420                      12.2592
1430                      12.2518
1440                      12.0504
1450                      12.4101
1460                      12.082
1470                      12.2164
1480                      12.4433
1490                      12.4887
1500                      12.2977
1510                      12.2595
1520                      12.0519
1530                      12.6104
1540                      13.7221
1550                      17.5444
1560                      13.7089
1570                      12.3418
1580                      12.0684
1590                      11.6137
1600                      11.5227
1610                      11.7045
1620                      11.5409
1630                      14.3082
1640                      13.2616
1650                      11.8523
1660                      12.3705
1670                      12.0741
1680                      12.0148
1690                      11.603
1700                      11.7206
1710                      11.7441
1720                      11.3488
1730                      11.2698
1740                      12.254
1750                      13.0508
1760                      11.8102
1770                      12.162
1780                      12.4324
1790                      11.8865
1800                      12.1773
1810                      11.6355
1820                      11.7271
1830                      11.9454
1840                      11.5891
1850                      11.5178
1860                      11.7036
1870                      11.5407
1880                      11.7081
1890                      11.5416
1900                      11.7083
1910                      11.5417
1920                      11.7083
1930                      11.9417
1940                      12.3883
1950                      11.6777
1960                      11.7355
1970                      11.5471
1980                      12.1094
1990                      12.0219
2000                      11.6044
2010                      12.1209
2020                      11.6242
2030                      11.9248
2040                      12.185
2050                      16.037
2060                      15.6074
2070                      13.5215
2080                      12.9043
2090                      13.7809
2100                      13.3562
2110                      12.4712
2120                      12.2942
2130                      12.2588
2140                      12.6518
2150                      12.5304
2160                      13.9061
2170                      12.7812
2180                      12.3562
2190                      13.0712
2200                      12.6142
2210                      12.5228
2220                      12.7046
2230                      12.1409
2240                      12.4282
2250                      12.8856
2260                      13.7771
2270                      12.7554
2280                      12.9511
2290                      12.7902
2300                      13.158
2310                      13.8316
2320                      13.7663
2330                      12.1533
2340                      13.2307
2350                      12.6461
2360                      12.3292
2370                      12.2658
2380                      12.2532
2390                      18.2506
2400                      16.0501
2410                      16.61
2420                      13.122
2430                      12.6244
2440                      30.9249
2450                      15.785
2460                      13.557
2470                      18.3114
2480                      13.6623
2490                      12.3325
2500                      12.4665
2510                      12.0933
2520                      12.2187
2530                      12.2437
2540                      11.8487
2550                      12.3697
2560                      12.0739
2570                      12.2148
2580                      12.443
2590                      12.6886
2600                      12.3377
2610                      12.4675
2620                      12.2935
2630                      12.0587
2640                      12.2117
2650                      12.2423
2660                      11.8485
2670                      11.9697
2680                      11.9939
2690                      12.1988
2700                      12.0398
2710                      13.208
2720                      12.4416
2730                      12.2883
2740                      12.2577
2750                      12.4515
2760                      12.4903
2770                      11.8981
2780                      11.7796
2790                      12.1559
2800                      11.8312
2810                      12.3662
2820                      12.0732
2830                      12.0146
2840                      12.0029
2850                      12.2006
2860                      12.2401
2870                      12.048
2880                      12.4096
2890                      12.4819
2900                      12.0964
2910                      11.8193
2920                      12.3639
2930                      12.6728
2940                      12.9346
2950                      12.1869
2960                      12.2374
2970                      11.6475
2980                      11.9295
2990                      12.3859
3000                      12.8772
3010                      18.9754
3020                      13.7951
3030                      12.759
3040                      12.5518
3050                      12.5104
3060                      12.5021
3070                      12.5004
3080                      12.7001
3090                      12.94
3100                      12.588
3110                      12.9176
3120                      12.5835
3130                      12.9167
3140                      12.5833
3150                      15.1167
3160                      13.4233
3170                      13.0847
3180                      13.0169
3190                      12.6034
3200                      12.5207
3210                      12.5041
3220                      12.9008
3230                      12.7802
3240                      12.556
3250                      12.7112
3260                      12.5422
3270                      12.5084
3280                      14.3017
3290                      13.0603
3300                      12.8121
3310                      30.9624
3320                      17.1925
3330                      19.0385
3340                      15.0077
3350                      13.2015
3360                      12.6403
3370                      11.9281
3380                      11.9856
3390                      12.5971
3400                      12.3194
3410                      12.8639
3420                      12.3728
3430                      12.0746
3440                      11.4149
3450                      12.083
3460                      12.2166
3470                      12.4433
3480                      12.2887
3490                      11.8577
3500                      12.3715
3510                      15.0743
3520                      17.0149
3530                      15.003
3540                      13.0006
3550                      12.8001
3560                      12.56
3570                      12.712
3580                      12.5424
3590                      12.7085
3600                      13.5417
3610                      13.5083
3620                      13.9017
3630                      13.7803
3640                      12.9561
3650                      12.9912
3660                      13.5982
3670                      14.1196
3680                      13.0239
3690                      12.8048
3700                      12.561
3710                      12.7122
3720                      12.5424
3730                      31.3085
3740                      16.0617
3750                      13.2123
3760                      12.6425
3770                      12.7285
3780                      12.7457
3790                      12.7491
3800                      13.1498
3810                      12.83
3820                      12.366
3830                      12.6732
3840                      12.9346
3850                      12.5869
3860                      12.5174
3870                      12.9035
3880                      12.9807
3890                      12.3961
3900                      12.4792
3910                      12.6958
