Tamaño Ejemplar        Tiempos reales QSHOARE         Tiempos reales QSMEDIANA
1e+06                 2                  1.33333
1.1e+06                 19310.3                  17643
1.2e+06                 38528.3                  38825
1.3e+06                 59815                  59295.7
1.4e+06                 81524.3                  81145.7
1.5e+06                 110170                  111724
1.6e+06                 133893                  125348
1.7e+06                 147549                  144450
1.8e+06                 176087                  164361
1.9e+06                 193027                  193128
2e+06                 218239                  212109
2.1e+06                 241874                  231993
2.2e+06                 275147                  260048
2.3e+06                 281983                  280449
2.4e+06                 323454                  308023
2.5e+06                 344131                  331240
2.6e+06                 364640                  346421
2.7e+06                 384529                  372608
2.8e+06                 407197                  406300
2.9e+06                 437175                  418049
3e+06                 448701                  441081
3.1e+06                 476645                  476110
3.2e+06                 500396                  491960
3.3e+06                 526496                  508928
3.4e+06                 553589                  553952
3.5e+06                 570092                  573733
3.6e+06                 593825                  575734
3.7e+06                 636400                  613350
3.8e+06                 653353                  642025
3.9e+06                 686390                  666776
4e+06                 697679                  691130
4.1e+06                 723409                  706235
4.2e+06                 753762                  748765
4.3e+06                 767456                  774204
4.4e+06                 795365                  802388
4.5e+06                 826542                  815058
4.6e+06                 842826                  833945
4.7e+06                 875150                  854058
4.8e+06                 895935                  881755
4.9e+06                 931491                  905313
5e+06                 949676                  951486
